 no_of_dependents, self_employed, income_annum, loan_amount, loan_term, cibil_score, commercial_assets_value, luxury_assets_value, bank_asset_value, loan_status
4,0,3500000,8900000,4,470,2200000,12300000,2000000,1
0,0,8800000,31200000,4,826,500000,33300000,8600000,0
2,1,9900000,21200000,16,363,11400000,26600000,6800000,1
3,0,3600000,8600000,20,613,300000,10300000,3300000,0
3,1,3000000,8200000,16,713,5800000,11000000,3400000,0
2,0,6800000,21200000,16,439,4700000,23300000,3600000,1
5,1,1100000,3800000,18,387,1200000,3800000,1600000,1
1,1,8700000,28300000,8,402,13600000,27900000,10200000,1
4,1,2000000,8000000,6,837,2600000,3900000,2900000,0
2,0,9800000,37600000,10,641,0,23400000,7600000,0
4,0,5700000,21100000,18,489,4300000,12500000,6000000,1
4,0,8800000,20700000,18,540,3200000,22400000,12700000,1
4,0,3800000,8900000,4,844,3500000,13100000,4700000,0
1,0,1700000,6400000,10,452,1100000,5600000,2100000,1
2,0,1000000,2000000,10,366,400000,3200000,1300000,1
5,0,300000,1100000,2,300,500000,700000,400000,0
2,1,6600000,15000000,18,470,4800000,18200000,7000000,1
2,0,8700000,25000000,20,861,8500000,23200000,7300000,0
4,0,9400000,29400000,12,562,15200000,36400000,7100000,0
0,0,4400000,10800000,14,463,4800000,13800000,4700000,1
4,0,400000,900000,12,478,100000,1200000,100000,1
2,1,300000,1100000,2,702,200000,500000,200000,0
2,1,4300000,12900000,20,618,3600000,11400000,2400000,0
4,0,1600000,4500000,12,633,1700000,4100000,1900000,0
5,1,6200000,23600000,10,331,10300000,23800000,8700000,1
3,1,4200000,9700000,16,841,300000,16700000,5100000,0
4,1,9000000,18100000,12,764,16500000,20800000,11600000,0
0,0,2700000,10600000,6,591,2700000,9900000,1800000,0
1,1,9700000,35900000,2,719,7600000,20400000,10900000,0
2,0,3300000,6800000,14,317,300000,11700000,3600000,1
0,0,300000,1100000,8,778,200000,900000,100000,0
3,1,7400000,18200000,14,302,3100000,17900000,5000000,1
5,0,7100000,19700000,8,502,5600000,25300000,9800000,1
5,1,7300000,22100000,18,879,10600000,19300000,9800000,0
1,0,8400000,23400000,14,437,5800000,33400000,8100000,1
0,1,3300000,10800000,12,797,6000000,7700000,3300000,0
4,1,5800000,23200000,18,456,4200000,22600000,7500000,1
0,0,600000,1600000,6,647,600000,1500000,700000,0
0,0,7200000,15800000,12,379,12200000,21500000,3600000,1
1,1,9100000,32900000,2,717,2000000,23600000,5900000,0
5,0,900000,2300000,16,545,200000,2700000,800000,1
2,0,800000,3200000,8,317,1000000,2000000,900000,1
1,0,8500000,32900000,10,570,6200000,20500000,5500000,0
0,1,9000000,18700000,18,865,0,20900000,11300000,0
3,0,7000000,19500000,14,719,10300000,18200000,10200000,0
3,0,200000,600000,16,821,100000,500000,100000,0
4,1,400000,800000,10,859,500000,800000,200000,0
3,0,5100000,18200000,10,395,8000000,15500000,6300000,1
2,1,700000,2600000,12,429,1300000,2700000,800000,1
3,0,400000,1200000,12,861,600000,1100000,200000,0
0,1,9500000,20800000,14,565,11900000,33900000,13400000,0
5,0,8800000,22600000,10,357,8600000,18200000,4900000,1
3,1,1800000,3600000,18,465,500000,5400000,2600000,1
4,1,6800000,13900000,8,479,9100000,25700000,9600000,1
3,0,1500000,5500000,16,717,800000,4400000,1300000,0
3,0,1600000,5500000,12,425,800000,5400000,900000,1
2,0,4600000,16700000,2,786,5900000,13900000,6100000,0
5,1,2200000,6700000,6,382,1300000,8600000,1100000,1
3,1,2900000,8500000,12,564,3100000,7500000,1800000,0
0,0,200000,700000,8,501,200000,700000,100000,1
2,1,2500000,9400000,10,727,4100000,9500000,3300000,0
4,0,3600000,7500000,6,894,6500000,7400000,2800000,0
0,1,5500000,16700000,18,829,1300000,12800000,5900000,0
4,0,6600000,17400000,20,506,10000000,25900000,7200000,1
2,1,8600000,32100000,6,802,16700000,24500000,9800000,0
5,0,600000,1500000,14,543,900000,2100000,300000,1
3,1,1400000,3200000,20,772,900000,5100000,1600000,0
3,0,4000000,11100000,12,572,100000,12500000,2400000,0
0,1,4900000,11900000,16,709,900000,18500000,3800000,0
5,0,2000000,6200000,18,402,2100000,7200000,1100000,1
1,1,5200000,19300000,8,481,9500000,18800000,4200000,1
5,1,8900000,28800000,6,772,5500000,20400000,8400000,0
1,1,6500000,20600000,2,306,1900000,18100000,3200000,0
2,0,1300000,4500000,6,415,900000,2900000,1200000,1
3,0,9400000,35000000,16,548,4400000,36100000,4800000,1
5,0,5000000,11200000,8,701,500000,14000000,4600000,0
2,0,3000000,7700000,12,890,4300000,8400000,2100000,0
5,1,9900000,33300000,6,364,18700000,27800000,8300000,1
5,1,700000,1300000,20,704,0,2200000,600000,0
3,1,4000000,10600000,10,318,5100000,8000000,4900000,1
5,0,3100000,9600000,2,761,1800000,10400000,4200000,0
4,0,4500000,15100000,6,693,1500000,17800000,6000000,0
3,0,9700000,20600000,16,524,11100000,27400000,6100000,1
2,1,2000000,5300000,10,681,1400000,4300000,2900000,0
2,1,8100000,22300000,18,737,12600000,27000000,7300000,0
0,0,5700000,15900000,16,638,9500000,16300000,4500000,0
4,0,5800000,12800000,2,656,5000000,16000000,2800000,0
1,0,1800000,6500000,6,540,3200000,5000000,1100000,1
4,1,9100000,35200000,6,341,300000,23100000,8200000,1
0,1,4800000,17500000,2,371,6800000,18700000,3500000,0
3,1,3800000,10500000,12,886,500000,14900000,2300000,0
0,0,1900000,4100000,18,801,800000,4800000,1200000,0
3,1,3600000,9500000,16,748,2400000,9700000,2600000,0
2,1,7400000,28200000,8,376,5000000,17400000,5200000,1
4,1,6600000,14300000,8,371,9500000,18500000,7400000,1
2,0,1800000,5300000,6,826,700000,6500000,1300000,0
4,0,9200000,27200000,12,873,1800000,33800000,11400000,0
5,1,2400000,8600000,8,309,600000,5700000,2800000,1
4,0,5600000,13300000,20,869,7500000,20000000,6500000,0
5,0,3800000,13900000,12,534,2900000,8200000,2800000,1
3,1,4500000,17900000,6,787,3600000,14300000,4200000,0
0,1,900000,2200000,16,566,700000,2000000,600000,0
0,0,2800000,9900000,8,742,1300000,6700000,1700000,0
2,0,7500000,23100000,4,824,10900000,26300000,9500000,0
4,0,1400000,3100000,14,575,2100000,4900000,1400000,0
2,1,3800000,10900000,10,766,3900000,8600000,3000000,0
1,1,1700000,5000000,10,888,900000,4100000,2200000,0
3,1,9000000,30400000,6,638,11000000,26900000,9200000,0
5,1,7300000,23300000,6,622,11600000,26400000,10500000,0
1,0,7400000,19800000,18,458,6200000,27700000,4000000,1
1,0,9000000,28200000,16,327,2300000,24000000,11200000,1
0,0,3000000,6500000,2,612,3400000,6700000,1700000,0
1,0,800000,2900000,8,682,1100000,2900000,700000,0
2,0,4800000,13200000,2,583,5800000,9500000,5200000,0
5,0,6400000,18300000,8,697,3600000,22500000,3600000,0
3,0,9200000,27100000,12,306,11500000,28000000,9600000,1
4,1,400000,1500000,2,669,600000,900000,500000,0
2,0,2800000,6000000,18,816,4200000,8000000,3400000,0
4,1,8500000,28900000,20,455,5800000,22500000,9400000,1
3,1,4700000,16400000,10,318,8100000,16200000,4300000,1
4,1,9800000,21200000,20,355,8900000,31800000,14400000,1
2,1,3800000,8900000,16,389,5600000,12200000,2200000,1
2,0,500000,1500000,2,888,300000,1500000,600000,0
2,1,6900000,15600000,6,352,5300000,22600000,10000000,1
4,1,9600000,30100000,12,870,6700000,38200000,5600000,0
3,0,2900000,6500000,18,827,600000,10400000,3200000,0
2,0,9800000,20900000,12,768,10200000,38600000,13400000,0
0,0,7100000,15400000,18,707,10800000,19600000,5800000,0
1,1,7700000,19100000,10,355,4900000,21900000,6600000,1
3,0,1400000,3300000,2,652,2100000,3500000,1900000,0
3,0,7800000,15900000,2,665,900000,27200000,5400000,0
5,1,1700000,6000000,18,420,1600000,3700000,2300000,1
2,0,8500000,32700000,18,471,9400000,33900000,12500000,1
5,0,1900000,7500000,20,715,2800000,6500000,2800000,0
2,1,6700000,15200000,10,689,8200000,15000000,6800000,0
3,1,6900000,16400000,4,787,6100000,26400000,3800000,0
2,0,2600000,7800000,4,819,4300000,5700000,1500000,0
4,1,9600000,21100000,6,809,9500000,34700000,8700000,0
1,1,6800000,17000000,2,744,3900000,23700000,3500000,0
0,0,3200000,11300000,6,484,5500000,8500000,2100000,1
4,0,2900000,10400000,6,673,1700000,10600000,1700000,0
3,1,7900000,21200000,18,695,10600000,21800000,4900000,0
4,1,3900000,12400000,12,473,4700000,13100000,3800000,1
4,1,4600000,11000000,2,491,4000000,16100000,3500000,1
3,1,700000,1700000,8,733,800000,2400000,500000,0
0,0,5200000,15600000,20,434,5800000,18100000,5500000,1
3,1,5900000,20600000,10,777,4600000,21200000,6400000,0
4,0,7200000,19100000,4,774,7000000,17900000,3600000,0
1,1,8700000,27000000,10,717,8600000,17500000,9100000,0
3,1,1100000,3500000,12,503,400000,2200000,1200000,1
1,1,4000000,10900000,14,598,6600000,13600000,4400000,0
2,0,9800000,32400000,2,543,17500000,25700000,7700000,0
0,1,2700000,6800000,20,796,4200000,7000000,1900000,0
3,1,8800000,34600000,8,386,16500000,18400000,6000000,1
5,1,3300000,7800000,16,632,500000,7100000,4900000,0
1,1,6900000,23400000,4,481,1100000,23400000,10200000,0
3,1,900000,3500000,4,770,0,2000000,600000,1
3,1,4100000,15500000,6,667,1600000,14700000,4000000,0
3,1,4700000,17500000,8,585,3100000,9600000,4900000,0
5,1,3400000,11600000,16,479,5700000,11200000,2400000,1
2,0,9600000,22500000,18,851,16200000,24300000,12700000,0
3,1,7000000,16200000,6,378,12600000,20300000,5500000,1
5,0,5700000,12900000,18,807,900000,18600000,5500000,0
1,1,8200000,32400000,18,831,12300000,17700000,7800000,0
2,0,2100000,5100000,12,674,3200000,6400000,2400000,0
1,1,8000000,28100000,18,725,12800000,23000000,7500000,0
2,0,8000000,29300000,4,600,13200000,29400000,6500000,0
0,1,9400000,27000000,10,536,1700000,33800000,4800000,1
0,0,8400000,20600000,10,477,1500000,25000000,11900000,1
1,1,1900000,5000000,6,560,1900000,6300000,1400000,0
0,1,4200000,16400000,20,539,2100000,11400000,3100000,1
5,0,2600000,9100000,8,852,700000,10300000,3300000,0
3,0,3700000,8500000,20,853,5700000,7500000,4900000,0
0,0,8800000,30900000,12,729,700000,25700000,11400000,0
2,0,2100000,4700000,2,546,3200000,5700000,1500000,1
3,1,900000,2400000,10,489,0,2800000,500000,1
3,1,9800000,35400000,6,869,16400000,22800000,10300000,0
2,0,8000000,20000000,2,502,2200000,31600000,9900000,1
0,0,9800000,38800000,8,652,19000000,29700000,5400000,0
0,1,300000,1100000,8,789,100000,800000,400000,0
4,0,2700000,8100000,4,325,800000,9900000,3400000,0
3,1,7400000,19600000,2,716,8900000,29100000,4200000,0
3,0,9200000,34300000,18,523,4000000,29100000,8800000,1
5,0,9500000,22200000,20,352,0,30800000,7000000,1
5,1,3800000,14400000,2,345,800000,13000000,4700000,0
0,0,8300000,19400000,18,649,16100000,24300000,11300000,0
2,1,2800000,7400000,18,666,2300000,6300000,3400000,0
0,0,8600000,20900000,10,813,11900000,26000000,4800000,0
0,0,5400000,16800000,10,599,7400000,14500000,7600000,0
5,1,4200000,9400000,6,678,5500000,9900000,5700000,0
5,0,5200000,12200000,20,513,2000000,16800000,5400000,1
5,0,9400000,27900000,4,870,200000,29500000,10400000,0
3,0,8800000,20400000,8,483,11400000,28200000,11800000,1
1,1,5900000,16700000,16,308,8800000,19100000,5300000,1
3,1,1700000,4900000,16,591,1000000,4300000,1400000,0
1,0,7000000,23000000,10,886,3700000,26700000,3600000,0
4,0,1700000,4000000,6,829,1600000,5200000,1700000,0
0,0,1500000,4900000,12,651,2800000,4600000,800000,0
4,0,2000000,4700000,18,733,3700000,7000000,2800000,0
5,1,3900000,15500000,12,433,5400000,7900000,4600000,1
1,1,900000,3600000,14,713,1000000,1800000,1200000,0
1,0,6900000,22500000,18,403,8400000,16900000,6300000,1
0,1,2800000,7800000,10,405,2500000,7100000,3400000,1
3,1,6800000,19900000,10,516,6000000,26000000,8500000,1
4,1,600000,1800000,8,417,700000,1800000,800000,1
1,0,4700000,14000000,6,468,1800000,10600000,4600000,1
5,1,3000000,11800000,10,672,3600000,9800000,4100000,0
5,0,4000000,13900000,6,530,5600000,12500000,6000000,1
1,1,3100000,11300000,14,824,6000000,11000000,4400000,0
1,1,7700000,25500000,12,549,10600000,20500000,7000000,1
5,1,4300000,9300000,10,450,6700000,10000000,4100000,1
1,1,5800000,19500000,20,431,5000000,15600000,3300000,1
3,1,3600000,10700000,16,312,1600000,13100000,5200000,1
0,1,2900000,7600000,8,320,5600000,9600000,3100000,1
0,0,8800000,20200000,4,433,4200000,30500000,12400000,1
1,1,300000,1000000,10,431,500000,900000,100000,1
5,1,8600000,28900000,8,516,1800000,30200000,6800000,1
2,1,3500000,12000000,14,476,6800000,12400000,2900000,1
5,0,800000,2600000,6,560,200000,3000000,1000000,0
2,0,8000000,27100000,12,674,400000,25300000,6400000,0
0,1,9900000,38200000,6,573,10000000,20100000,5900000,0
2,0,3300000,6600000,6,331,2000000,8900000,2700000,1
4,1,2000000,6700000,12,633,800000,4800000,2000000,0
3,0,4900000,12900000,18,877,7000000,17900000,3300000,0
5,1,9200000,23600000,12,656,11200000,36400000,4900000,0
0,0,7500000,18200000,6,782,12000000,19800000,4100000,0
5,0,9000000,29300000,4,531,9500000,35500000,5800000,0
3,0,1400000,4100000,8,455,1400000,2900000,2100000,1
3,0,9600000,19900000,14,452,16200000,28500000,6600000,1
2,0,8400000,33200000,14,474,15000000,25400000,11500000,1
3,0,6400000,24400000,4,483,2400000,19100000,4500000,0
4,0,5900000,16800000,8,481,11400000,19500000,3300000,1
2,1,2200000,5100000,20,859,1200000,6400000,3100000,0
4,1,5600000,14100000,14,696,9200000,16500000,6800000,0
4,0,9800000,28700000,6,778,7400000,29700000,11100000,0
4,0,4400000,14600000,4,499,6500000,16100000,5700000,0
2,1,2400000,4900000,4,888,4300000,5100000,3400000,0
1,0,4400000,10800000,12,674,2700000,17200000,5300000,0
4,0,3700000,13200000,4,802,2400000,12500000,4300000,0
4,1,2300000,7800000,8,540,3400000,4700000,2800000,1
4,1,5900000,19600000,8,726,6800000,20100000,8000000,0
4,1,6400000,23500000,2,485,2700000,23600000,3900000,0
4,1,4900000,17100000,6,612,7000000,19500000,5000000,0
3,1,9500000,24200000,8,879,17200000,26400000,12700000,0
2,0,5700000,16400000,12,708,800000,15000000,4400000,0
2,1,2700000,5700000,8,850,5000000,10500000,3900000,0
2,1,3900000,11300000,12,516,0,10400000,4600000,1
0,0,7800000,28800000,12,465,7500000,28800000,7400000,1
0,0,1100000,3200000,20,716,1400000,3600000,1500000,0
4,0,200000,600000,10,404,100000,400000,0,1
0,1,4700000,10600000,20,512,4000000,12300000,7000000,1
3,1,8200000,20600000,10,441,11400000,29100000,6100000,1
2,1,4600000,18400000,2,555,2400000,14200000,4200000,0
5,0,1800000,7000000,18,466,2100000,6000000,1900000,1
3,1,3200000,8600000,2,427,1800000,7100000,4700000,1
4,1,5500000,20000000,14,593,2700000,19900000,4900000,0
3,0,7900000,18300000,10,731,3400000,22200000,8400000,0
1,1,4000000,10100000,16,451,3900000,14300000,3900000,1
3,1,6800000,16900000,18,628,900000,15600000,4900000,0
1,0,2700000,9400000,18,704,2300000,6400000,2400000,0
2,0,6800000,23500000,12,341,11800000,14300000,8500000,1
5,0,8600000,21000000,8,465,14900000,19500000,9900000,1
4,0,8000000,30100000,4,431,13800000,18800000,11500000,0
1,1,3700000,12600000,10,424,1100000,14200000,4400000,1
0,0,2600000,5100000,14,678,1200000,6000000,3100000,0
4,0,4200000,16800000,6,381,3800000,14800000,5900000,1
5,1,8000000,28000000,10,449,1500000,17400000,3900000,1
1,0,7100000,23500000,12,768,12100000,22400000,7300000,0
0,0,2000000,7000000,6,666,1200000,4300000,1400000,1
4,1,5800000,13300000,14,742,9300000,16300000,7000000,0
3,1,6700000,15800000,4,445,7600000,14100000,9100000,1
2,0,7300000,28700000,14,634,3800000,21200000,10800000,0
4,0,3300000,9700000,14,782,0,10400000,2200000,0
0,0,3000000,7000000,10,781,600000,11700000,2700000,0
4,0,7900000,17200000,14,318,9500000,23200000,9000000,1
5,0,7600000,24100000,18,721,11500000,22900000,7200000,0
5,0,3700000,9800000,4,563,5100000,11200000,3000000,0
2,0,8400000,26300000,4,419,7900000,29200000,6200000,0
0,1,8200000,20800000,14,372,100000,26100000,5200000,1
0,0,2900000,9500000,18,885,2300000,6500000,3500000,0
1,1,9900000,38400000,12,596,9300000,36500000,6800000,0
0,0,4400000,14100000,2,349,1300000,8800000,6200000,0
1,1,9000000,32200000,16,468,16400000,28600000,10900000,1
3,1,6800000,26900000,16,818,10400000,26300000,7300000,0
2,0,8700000,28000000,12,543,6000000,22900000,6700000,1
3,0,9400000,21900000,16,685,5600000,34500000,5000000,0
3,1,6000000,12500000,18,851,5000000,16800000,5000000,0
1,1,9400000,29800000,10,377,18500000,30900000,11700000,1
0,1,1000000,4000000,10,620,1300000,3700000,1100000,0
3,1,900000,2300000,20,611,1500000,1900000,500000,0
4,0,2100000,7700000,4,767,1700000,6900000,1300000,0
5,1,1100000,3200000,20,592,700000,3500000,500000,0
0,1,600000,2300000,4,319,800000,2300000,700000,0
4,1,9200000,25500000,10,900,10500000,27400000,12800000,0
2,1,3600000,12800000,18,814,4100000,10300000,4100000,0
5,1,1300000,5000000,10,755,2200000,4800000,1900000,0
5,1,7700000,16800000,20,584,4800000,23400000,8000000,0
4,1,9500000,23500000,14,380,6700000,25100000,7300000,1
2,1,5000000,17600000,20,465,5200000,16500000,5200000,1
0,0,500000,1800000,2,531,500000,1900000,700000,0
1,1,8300000,32100000,16,814,2700000,28900000,7500000,0
0,0,5300000,17900000,6,678,3900000,14400000,3600000,0
2,1,9300000,29000000,12,655,6800000,29900000,4900000,0
3,0,2300000,7400000,2,682,2400000,7600000,2100000,0
1,0,400000,1300000,6,695,500000,800000,100000,0
3,0,3200000,10800000,4,833,1000000,8700000,2600000,0
5,1,9400000,35300000,16,302,12500000,37000000,12900000,1
1,0,2300000,6600000,2,357,200000,6000000,2200000,1
5,0,4300000,14500000,12,302,4300000,12500000,5100000,1
0,1,6200000,22400000,18,873,6600000,15800000,8200000,0
0,1,7200000,19800000,12,658,8100000,25000000,7300000,0
5,1,2400000,8700000,18,877,2900000,7100000,1100000,0
3,0,2900000,6300000,8,648,3400000,7600000,1400000,0
1,0,1400000,5200000,12,730,0,3700000,700000,0
4,1,2200000,8200000,14,737,2800000,8200000,1400000,0
2,1,800000,3200000,10,584,200000,2100000,700000,1
0,0,600000,1700000,2,621,400000,2000000,200000,0
4,1,700000,2700000,16,583,1200000,1400000,300000,0
2,0,8400000,25900000,16,621,13400000,33500000,4200000,0
2,0,7100000,21500000,16,610,12100000,14200000,9300000,0
4,0,5400000,15700000,18,452,2600000,16500000,6600000,1
5,0,3700000,7300000,18,339,100000,13900000,5300000,1
3,1,5200000,15200000,16,650,5700000,13500000,4100000,0
4,1,200000,700000,10,672,200000,300000,300000,0
3,0,500000,1000000,20,501,800000,900000,200000,1
2,1,1800000,5700000,4,809,1900000,6300000,2400000,0
5,1,9200000,29400000,8,318,5900000,33800000,5400000,1
4,0,900000,3300000,10,649,400000,1800000,1200000,0
3,0,7500000,28300000,12,367,11300000,22700000,7000000,1
5,0,3000000,11800000,6,847,2200000,7100000,2300000,0
5,0,7100000,18900000,12,360,1100000,19800000,8500000,1
1,1,3500000,7200000,2,865,3200000,11900000,4200000,0
4,0,4900000,18800000,16,880,4700000,13200000,2600000,0
1,0,4100000,8400000,20,608,8000000,10000000,4400000,0
0,1,800000,2100000,6,760,100000,1600000,600000,0
3,1,1700000,4600000,12,385,1300000,5200000,1700000,1
0,1,6100000,23300000,12,478,2300000,17700000,4900000,1
1,1,2100000,7700000,16,327,500000,4700000,2300000,1
0,0,3100000,9300000,6,663,1400000,8100000,3800000,0
2,1,1700000,3500000,20,693,1400000,4800000,1700000,0
3,0,1700000,5400000,6,710,700000,5800000,1700000,0
4,1,4000000,14500000,6,711,5700000,10900000,4100000,0
5,0,5600000,18400000,8,386,6700000,11300000,5600000,1
4,1,3900000,11900000,10,855,4000000,10200000,2800000,0
4,1,6100000,15300000,14,573,9900000,13300000,8400000,0
0,1,1100000,2800000,18,431,300000,4300000,1400000,1
2,0,5500000,14800000,8,364,4500000,12600000,4500000,1
4,1,1100000,3600000,14,711,500000,3600000,600000,0
4,1,400000,900000,20,771,500000,1600000,500000,0
3,0,9200000,36400000,18,669,12700000,30900000,12300000,0
4,1,9300000,27500000,18,338,500000,34900000,6600000,1
1,0,1100000,3500000,8,562,1200000,3200000,500000,0
3,0,5600000,18700000,2,769,8200000,17300000,4800000,0
0,1,6300000,21500000,8,629,3400000,22000000,5200000,0
3,0,8800000,18100000,6,699,2100000,18500000,9400000,0
0,0,8400000,20800000,20,590,8900000,32100000,10800000,0
3,1,1600000,5700000,4,707,2700000,6200000,2300000,0
3,1,4500000,11400000,8,391,6800000,9900000,4500000,1
5,0,6500000,18500000,4,891,3300000,23600000,7100000,0
3,1,9500000,20600000,2,731,3800000,20700000,9200000,0
3,0,4700000,16700000,12,775,1700000,17300000,3500000,0
5,1,9600000,32400000,2,897,15400000,26800000,6200000,0
5,0,8000000,26700000,20,794,14700000,29900000,7800000,0
2,0,7700000,16700000,6,555,2900000,18100000,8500000,0
1,1,3600000,10300000,12,536,500000,12200000,2700000,1
2,0,700000,1700000,10,839,700000,2000000,900000,0
0,1,1400000,5100000,6,890,1900000,5200000,1900000,0
1,1,8600000,27900000,20,415,14800000,27100000,7900000,1
4,0,4700000,15700000,4,868,2500000,13800000,4800000,0
3,1,2900000,5800000,12,353,2600000,10100000,3100000,1
4,0,9000000,29000000,16,590,15600000,29200000,12300000,0
5,1,500000,900000,18,618,600000,1200000,400000,0
2,1,700000,1700000,10,539,1000000,1900000,900000,1
0,0,6800000,27000000,4,429,7600000,21400000,9400000,0
2,0,1800000,4700000,8,792,1200000,4100000,2200000,0
0,0,6000000,12400000,2,608,2100000,17900000,6800000,0
4,1,5400000,21500000,14,555,1500000,14300000,7500000,0
5,1,8400000,17500000,12,620,13600000,26000000,5800000,0
0,0,7400000,20900000,6,635,14000000,21000000,7200000,0
2,0,3200000,12500000,10,457,2000000,8200000,4300000,1
1,1,5400000,21400000,8,350,1000000,19700000,6800000,1
5,1,1000000,2500000,14,885,100000,2300000,1100000,0
0,0,4400000,14700000,16,638,2700000,14400000,2700000,0
1,1,3800000,10500000,12,710,6200000,12500000,2500000,0
3,1,6100000,20900000,18,470,8500000,18000000,7500000,1
5,1,5500000,17300000,16,874,2900000,13700000,7900000,0
5,1,500000,1800000,18,411,500000,1300000,200000,1
0,1,300000,1100000,2,482,100000,1100000,400000,0
1,1,6200000,16900000,2,396,7500000,23700000,7600000,1
0,0,300000,900000,20,436,400000,600000,200000,1
